processed,prod_ID,category
chicken half,38,Poultry Meat
chicken in a biscuit cracker,1,Wheat & Rye (Bread)
chicken instant bouillon,38,Poultry Meat
chicken leg,38,Poultry Meat
chicken leg meat,38,Poultry Meat
chicken leg quarter,38,Poultry Meat
chicken legs-thigh,38,Poultry Meat
chicken meat,38,Poultry Meat
chicken mushroom soup,38,Poultry Meat
chicken noodle soup,38,Poultry Meat
chicken noodle soup mix,38,Poultry Meat
chicken part,38,Poultry Meat
chicken piece,38,Poultry Meat
chicken portion,38,Poultry Meat
chicken quarter,38,Poultry Meat
chicken ramen noodle,38,Poultry Meat
chicken rice pilaf mix,5,Rice
chicken rice-a-roni,5,Rice
chicken seasoning,38,Poultry Meat
chicken soup,38,Poultry Meat
chicken soup base,38,Poultry Meat
chicken soup powder,38,Poultry Meat
chicken stock,38,Poultry Meat
chicken stock cube,38,Poultry Meat
chicken stock paste,38,Poultry Meat
chicken stock powder,38,Poultry Meat
chicken stove top stuffing mix,38,Poultry Meat
chicken strip,38,Poultry Meat
chicken stuffing mix,38,Poultry Meat
chicken tender,38,Poultry Meat
chicken tenderloin,38,Poultry Meat
chicken thigh,38,Poultry Meat
chicken thigh fillet,38,Poultry Meat
chicken thigh piece,38,Poultry Meat
chicken wing,38,Poultry Meat
chicken wing sauce,38,Poultry Meat
chicken-filled tortellini,38,Poultry Meat
chickpea,10,Other Pulses
chickpea flmy,10,Other Pulses
chicory lettuce,25,Other Vegetables
chihuahua cheese,40,Cheese
chili,25,Other Vegetables
chili bean,10,Other Pulses
chili bean paste,10,Other Pulses
chili bean sauce,10,Other Pulses
chili con carne,25,Other Vegetables
chili flake,25,Other Vegetables
chili hot bean,10,Other Pulses
chili oil,25,Other Vegetables
chili olive oil,20,Olive Oil
chili paste,25,Other Vegetables
chili pepper,25,Other Vegetables
chili pepper flake,25,Other Vegetables
chili pod,25,Other Vegetables
chili powder,25,Other Vegetables
chili sauce,25,Other Vegetables
chili sauce mix,25,Other Vegetables
chili starter,25,Other Vegetables
chili vinegar,25,Other Vegetables
chili without bean,25,Other Vegetables
chili-garlic sauce,23,Root Vegetables
chili-ready tomato,21,Tomatoes
chily,25,Other Vegetables
chimayo chili powder,25,Other Vegetables
chinese barbecue pork,37,Pig Meat
chinese bean paste,10,Other Pulses
chinese black mushroom,25,Other Vegetables
chinese cabbage,24,Brassicas
chinese celery,25,Other Vegetables
chinese chili sauce,25,Other Vegetables
chinese duck sauce,38,Poultry Meat
chinese eggplant,25,Other Vegetables
chinese pea pod,11,Peas
chinese rice wine,30,Wine
chinese vegetable,24,Brassicas
chinese wheat noodle,1,Wheat & Rye (Bread)
chinese white rice vinegar,5,Rice
chinese wine,30,Wine
chipotle cheddar cheese,40,Cheese
chipotle chili sauce,25,Other Vegetables
chipotle chili seasoning,25,Other Vegetables
chipotle pepper,25,Other Vegetables
chipotle salsa,25,Other Vegetables
chipped beef,34,Beef (beef herd)
chive & onion 1/3 less fat than cream cheese,40,Cheese
chive & onion cream cheese,40,Cheese
chive & onion cream cheese spread,40,Cheese
chive and onion soft cream cheese spread,40,Cheese
chocolate,33,Dark Chocolate
chocolate almond bark,12,Nuts
chocolate and mint cookies,33,Dark Chocolate
chocolate and mint swirled morsel,33,Dark Chocolate
chocolate baking square,33,Dark Chocolate
chocolate bar,33,Dark Chocolate
chocolate bark,33,Dark Chocolate
chocolate biscuit,1,Wheat & Rye (Bread)
chocolate bit,33,Dark Chocolate
chocolate cake,33,Dark Chocolate
chocolate candy,33,Dark Chocolate
chocolate candy coating,4,Oatmeal
chocolate candy melt,33,Dark Chocolate
chocolate chip,33,Dark Chocolate
chocolate chip cookie,33,Dark Chocolate
chocolate chip cookie dough,33,Dark Chocolate
chocolate chip cookie mix,33,Dark Chocolate
chocolate chip cookies,33,Dark Chocolate
chocolate chip ice cream,33,Dark Chocolate
chocolate chunk,33,Dark Chocolate
chocolate cookie crumb,33,Dark Chocolate
chocolate cookie pie crust,33,Dark Chocolate
chocolate cookies,33,Dark Chocolate
chocolate cream-filled chocolate sandwich cookies,33,Dark Chocolate
chocolate crisp rice cereal,5,Rice
chocolate crumb crust,33,Dark Chocolate
chocolate crumb pie shell,33,Dark Chocolate
chocolate cupcake,33,Dark Chocolate
chocolate curl,33,Dark Chocolate
chocolate egg,33,Dark Chocolate
chocolate extract,33,Dark Chocolate
chocolate frosting,33,Dark Chocolate
chocolate frozen yogurt,39,Milk
chocolate fudge frosting,33,Dark Chocolate
chocolate fudge topping,33,Dark Chocolate
chocolate graham cracker,1,Wheat & Rye (Bread)
chocolate graham cracker crumb,1,Wheat & Rye (Bread)
chocolate graham wafer pie crust,1,Wheat & Rye (Bread)
chocolate hazelnut spread,33,Dark Chocolate
chocolate ice cream,33,Dark Chocolate
chocolate icing,33,Dark Chocolate
chocolate kis,33,Dark Chocolate
chocolate kiss,33,Dark Chocolate
chocolate leaf,33,Dark Chocolate
chocolate liqueur,33,Dark Chocolate
chocolate malt powder,33,Dark Chocolate
chocolate milk,33,Dark Chocolate
chocolate morsel,33,Dark Chocolate
chocolate mousse mix,33,Dark Chocolate
chocolate nesquik powder,33,Dark Chocolate
chocolate pie crust,33,Dark Chocolate
chocolate piece,33,Dark Chocolate
chocolate pound cake,33,Dark Chocolate
chocolate protein powder,33,Dark Chocolate
chocolate ripple biscuit,1,Wheat & Rye (Bread)
chocolate sauce,33,Dark Chocolate
chocolate shaving,33,Dark Chocolate
chocolate sorbet,31,Other Fruit
chocolate soymilk,14,Soymilk
chocolate sprinkle,33,Dark Chocolate
chocolate square,33,Dark Chocolate
chocolate star,33,Dark Chocolate
chocolate stick,33,Dark Chocolate
chocolate swiss roll,33,Dark Chocolate
chocolate syrup,33,Dark Chocolate
chocolate truffle,33,Dark Chocolate
chocolate wafer,33,Dark Chocolate
chocolate wafer cookie,33,Dark Chocolate
chocolate wafer cookies,33,Dark Chocolate
chocolate wafer crumb,33,Dark Chocolate
chocolate wafer pie crust,33,Dark Chocolate
chocolate whey protein powder,33,Dark Chocolate
chocolate whipped cream,33,Dark Chocolate
chocolate-coated honeycomb candy,4,Oatmeal
chocolate-covered almond,12,Nuts
chocolate-covered caramel candy,33,Dark Chocolate
chocolate-covered cherry,31,Other Fruit
chocolate-covered coffee bean,10,Other Pulses
chocolate-covered english toffee bar,33,Dark Chocolate
chocolate-covered graham cracker cookies,1,Wheat & Rye (Bread)
chocolate-covered mint candy,33,Dark Chocolate
chocolate-covered nut,12,Nuts
chocolate-covered peanut,13,Groundnuts
chocolate-covered peanut butter cup,13,Groundnuts
chocolate-covered pretzel,33,Dark Chocolate
chocolate-covered raisin,33,Dark Chocolate
chocolate-covered toffee bit,33,Dark Chocolate
chocolateing,33,Dark Chocolate
chokecherry juice,31,Other Fruit
chop suey vegetable,24,Brassicas
chopped maple walnut,12,Nuts
chopped mixed candied fruits and peel,31,Other Fruit
chopped tomato,21,Tomatoes
chuck eye steak,34,Beef (beef herd)
chuck steak,34,Beef (beef herd)
chunk chicken,38,Poultry Meat
chunk light tuna,42,Fish (farmed)
chunk pineapple,31,Other Fruit
chunk tuna,42,Fish (farmed)
chunky applesauce,28,Apples
chunky peanut butter,13,Groundnuts
chunky salsa,25,Other Vegetables
chunky tomato,21,Tomatoes
chunky tomato pasta sauce,21,Tomatoes
cilantro root,23,Root Vegetables
cilantro salsa,25,Other Vegetables
cinnamon apple tea bag,28,Apples
cinnamon applesauce,28,Apples
cinnamon graham cracker,1,Wheat & Rye (Bread)
cinnamon graham cracker crumb,1,Wheat & Rye (Bread)
cinnamon ice cream,39,Milk
cinnamon raisin bread,1,Wheat & Rye (Bread)
cinnamon sugar,8,Cane Sugar
cinnamon-raisin bread,1,Wheat & Rye (Bread)
cinnamon-sugar mixture,8,Cane Sugar
cinnamon-swirl bread,1,Wheat & Rye (Bread)
cipollini onion,22,Onions & Leeks
citron,26,Citrus Fruit
citrus juice,26,Citrus Fruit
citrus peel,26,Citrus Fruit
citrus slice,26,Citrus Fruit
citrus zest,26,Citrus Fruit
citrus-infused vodka,26,Citrus Fruit
claret wine,30,Wine
clear beef broth,34,Beef (beef herd)
clementine,26,Citrus Fruit
clementine juice,26,Citrus Fruit
cling peach half,31,Other Fruit
cloud ear mushroom,25,Other Vegetables
cloudberry,29,Berries & Grapes
cloudberry jam,29,Berries & Grapes
coarse black pepper,25,Other Vegetables
coarse ground beef,34,Beef (beef herd)
coarse ground pepper,25,Other Vegetables
coarse sugar,8,Cane Sugar
coarse unseasoned bread crumb,1,Wheat & Rye (Bread)
coating mix,4,Oatmeal
cocktail onion,22,Onions & Leeks
coconut,31,Other Fruit
coconut amino,31,Other Fruit
coconut biscuit,1,Wheat & Rye (Bread)
coconut butter,31,Other Fruit
coconut cookies,31,Other Fruit
coconut cream,31,Other Fruit
coconut cream cheese frosting,40,Cheese
coconut essence,31,Other Fruit
coconut extract,31,Other Fruit
coconut fat,31,Other Fruit
coconut flake,31,Other Fruit
coconut flmy,31,Other Fruit
coconut juice,31,Other Fruit
coconut liqueur,31,Other Fruit
coconut macaroon,31,Other Fruit
coconut meat,31,Other Fruit
coconut milk,31,Other Fruit
coconut milk powder,31,Other Fruit
coconut oil,31,Other Fruit
coconut paste,31,Other Fruit
coconut pecan frosting,31,Other Fruit
coconut sorbet,31,Other Fruit
coconut sugar,31,Other Fruit
coconut sugar crystal,31,Other Fruit
coconut syrup,31,Other Fruit
coconut vinegar,31,Other Fruit
coconut water,31,Other Fruit
coconut yogurt,39,Milk
coconuting,31,Other Fruit
cod,42,Fish (farmed)
cod fish fillet,42,Fish (farmed)
cod steak,42,Fish (farmed)
coddled egg,41,Eggs
coffee,32,Coffee
coffee bean,10,Other Pulses
coffee creamer,39,Milk
coffee extract,32,Coffee
coffee frozen yogurt,39,Milk
coffee ice cream,32,Coffee
coffee ice cube,32,Coffee
coffee liqueur,32,Coffee
coffee yogurt,39,Milk
coffee-mate,32,Coffee
colby cheese,40,Cheese
colby-monterey jack cheese,40,Cheese
collard green,25,Other Vegetables
colored crystal sugar,8,Cane Sugar
colored sugar sprinkle,8,Cane Sugar
comice pear,31,Other Fruit
commercial chicken broth,38,Poultry Meat
complete caesar salad in a bag,25,Other Vegetables
comte cheese,40,Cheese
concentrated tomato paste,21,Tomatoes
concord grape,29,Berries & Grapes
condensed bean,10,Other Pulses
condensed beef broth,34,Beef (beef herd)
condensed beef consomme,34,Beef (beef herd)
condensed broccoli cheddar cheese soup,40,Cheese
condensed cheddar cheese soup,40,Cheese
condensed chicken,38,Poultry Meat
condensed chicken broth,38,Poultry Meat
condensed chicken gumbo soup,38,Poultry Meat
condensed chicken noodle soup,38,Poultry Meat
condensed cream of asparagus soup,25,Other Vegetables
condensed cream of celery soup,25,Other Vegetables
condensed cream of chicken,38,Poultry Meat
condensed cream of chicken soup,38,Poultry Meat
condensed cream of mushroom & garlic soup,25,Other Vegetables
condensed cream of mushroom soup,25,Other Vegetables
condensed cream of potato soup,6,Potatoes
condensed cream of tomato soup,21,Tomatoes
condensed french onion soup,22,Onions & Leeks
condensed golden corn soup,2,Maize (Meal)
condensed golden mushroom soup,25,Other Vegetables
condensed milk,39,Milk
condensed mushroom soup,25,Other Vegetables
condensed pumpkin soup,25,Other Vegetables
condensed tomato soup,21,Tomatoes
condensed vegetable beef soup,34,Beef (beef herd)
condensed vegetable broth,24,Brassicas
confectioners' sugar,8,Cane Sugar
contadina diced tomato,21,Tomatoes
contadina tomato paste,21,Tomatoes
contadina tomato sauce,21,Tomatoes
converted long grain rice,5,Rice
converted rice,5,Rice
converted white rice,5,Rice
convertedrice,5,Rice
cooked bacon,37,Pig Meat
cooked barley,3,Barley (Beer)
cooked basmati rice,5,Rice
cooked beef,34,Beef (beef herd)
cooked beet,23,Root Vegetables
cooked broccoli,24,Brassicas
cooked brown rice,5,Rice
cooked chicken,38,Poultry Meat
cooked chicken breast,38,Poultry Meat
cooked chicken breast half,38,Poultry Meat
cooked chicken breast strip,38,Poultry Meat
cooked converted rice,5,Rice
cooked corned beef,34,Beef (beef herd)
cooked dark chicken meat,38,Poultry Meat
cooked ground beef,34,Beef (beef herd)
cooked ham,37,Pig Meat
cooked jasmine rice,5,Rice
cooked lamb,35,Beef (dairy herd)
cooked lean ground beef,34,Beef (beef herd)
cooked lentil,10,Other Pulses
cooked long-grain brown rice,5,Rice
cooked long-grain rice,5,Rice
cooked medium-grain rice,5,Rice
cooked minute rice,5,Rice
cooked oatmeal,4,Oatmeal
cooked pearl barley,3,Barley (Beer)
cooked pork,37,Pig Meat
cooked pumpkin,25,Other Vegetables
cooked rice,5,Rice
cooked salmon,42,Fish (farmed)
cooked short-grain brown rice,5,Rice
cooked short-grain rice,5,Rice
cooked short-grain white rice,5,Rice
cooked shrimp,43,Shrimps (farmed)
cooked sushi rice,5,Rice
cooked sweet potato,23,Root Vegetables
cooked turkey,38,Poultry Meat
cooked turkey bacon,37,Pig Meat
cooked turkey breast,38,Poultry Meat
cooked white chicken meat,38,Poultry Meat
cooked white rice,5,Rice
cooked whole grain brown rice,5,Rice
cooked whole wheat noodle,1,Wheat & Rye (Bread)
cooked whole wheat spaghettus,1,Wheat & Rye (Bread)
cooked wild rice,5,Rice
cooked yellow rice,5,Rice
cookies & cream ice cream,39,Milk
cooking apple,28,Apples
cooking onion,22,Onions & Leeks
cooking wine,30,Wine
cooper sharp cheese,40,Cheese
coriander root,23,Root Vegetables
corn,2,Maize (Meal)
corn and black bean salsa,25,Other Vegetables
corn beef hash,34,Beef (beef herd)
corn chex,2,Maize (Meal)
corn chip,2,Maize (Meal)
corn chowder,2,Maize (Meal)
corn cob,2,Maize (Meal)
corn flake,2,Maize (Meal)
corn flake crumb,2,Maize (Meal)
corn flakes cereal,2,Maize (Meal)
corn husk,2,Maize (Meal)
corn kernel,2,Maize (Meal)
corn mixed,2,Maize (Meal)
corn muffin,2,Maize (Meal)
corn muffin mix,2,Maize (Meal)
corn niblet,2,Maize (Meal)
corn oil,2,Maize (Meal)
corn oil margarine,2,Maize (Meal)
corn on the cob,2,Maize (Meal)
corn pops cereal,2,Maize (Meal)
corn puff,2,Maize (Meal)
corn syrup,2,Maize (Meal)
cornbread,2,Maize (Meal)
cornbread batter,2,Maize (Meal)
cornbread cube,2,Maize (Meal)
cornbread mix,2,Maize (Meal)
cornbread muffin,2,Maize (Meal)
cornbread stuffing,2,Maize (Meal)
cornbread stuffing mix,2,Maize (Meal)
cornbread twist,2,Maize (Meal)
cornbread-muffin mix,2,Maize (Meal)
corned beef,34,Beef (beef herd)
corned beef brisket,34,Beef (beef herd)
cornflmy,2,Maize (Meal)
cornichon,2,Maize (Meal)
cornish hen,2,Maize (Meal)
cornmeal,2,Maize (Meal)
cornmeal mix,2,Maize (Meal)
cornstarch,2,Maize (Meal)
cornstarch paste,2,Maize (Meal)
corona beer,3,Barley (Beer)
cortland apple,28,Apples
cos lettuce,25,Other Vegetables
cotija cheese,40,Cheese
cottage cheese,40,Cheese
country biscuit,1,Wheat & Rye (Bread)
country bread,1,Wheat & Rye (Bread)
country ham,37,Pig Meat
crab salad,25,Other Vegetables
crabapple,28,Apples
cracked black pepper,25,Other Vegetables
cracked bulgur wheat,1,Wheat & Rye (Bread)
cracked pepper,25,Other Vegetables
cracked wheat,1,Wheat & Rye (Bread)
cracklin' oat bran cereal,4,Oatmeal
cran-raspberry juice,29,Berries & Grapes
cranberry,29,Berries & Grapes
cranberry almond crunch cereal,12,Nuts
cranberry bean,10,Other Pulses
cranberry chutney,29,Berries & Grapes
cranberry jelly,29,Berries & Grapes
cranberry juice,29,Berries & Grapes
cranberry juice cocktail,29,Berries & Grapes
cranberry juice concentrate,29,Berries & Grapes
cranberry liqueur,29,Berries & Grapes
cranberry orange sauce,26,Citrus Fruit
cranberry sauce,29,Berries & Grapes
cranberry shallot relish,23,Root Vegetables
cranberry vodka,29,Berries & Grapes
cranberry-apple juice,28,Apples
cranberry-grape juice,29,Berries & Grapes
cranberry-orange relish,26,Citrus Fruit
cranberry-orange sauce,26,Citrus Fruit
cranberry-peach juice,31,Other Fruit
cranberry-raspberry juice,29,Berries & Grapes
crawfish,42,Fish (farmed)
crawfish meat,42,Fish (farmed)
crawfish tail,42,Fish (farmed)
crawfish tail meat,42,Fish (farmed)
crayfish tail,42,Fish (farmed)
cre mushroom,25,Other Vegetables
cream cheese,40,Cheese
cream cheese dip,40,Cheese
cream cheese frosting,40,Cheese
cream cheese spread,40,Cheese
cream of asparagus soup,25,Other Vegetables
cream of celery soup,25,Other Vegetables
cream of chicken and broccoli soup,38,Poultry Meat
cream of chicken and mushroom soup,38,Poultry Meat
cream of chicken soup,38,Poultry Meat
cream of chicken soup mix,38,Poultry Meat
cream of coconut,31,Other Fruit
cream of mushroom soup,25,Other Vegetables
cream of onion soup,22,Onions & Leeks
cream of potato soup,6,Potatoes
cream of shrimp soup,43,Shrimps (farmed)
cream of tomato soup,21,Tomatoes
cream of wheat,1,Wheat & Rye (Bread)
cream-filled chocolate sandwich cookies,33,Dark Chocolate
creamed coconut,31,Other Fruit
creamed corn,2,Maize (Meal)
creamed horseradish,23,Root Vegetables
creamed spinach,25,Other Vegetables
creamy chicken verde soup,38,Poultry Meat
creamy peanut butter,13,Groundnuts
creamy ranchero tomato soup,21,Tomatoes
creme de coconut,31,Other Fruit
creme-filled chocolate sandwich cookies,33,Dark Chocolate
crisp bacon,37,Pig Meat
crisp red apple,28,Apples
crisp rice cereal,5,Rice
crisp salad green,25,Other Vegetables
crispy brown rice cereal,5,Rice
crispy rice cereal,5,Rice
crispy wheat cereal square,1,Wheat & Rye (Bread)
crookneck yellow squash,25,Other Vegetables
crowder pea,11,Peas
crunchy cheetos cheese snack,40,Cheese
crunchy peanut butter,13,Groundnuts
crushed pineapple,31,Other Fruit
crushed pineapple in juice,31,Other Fruit
crushed pineapple in syrup,31,Other Fruit
crushed plum tomato,21,Tomatoes
crushed tomato,21,Tomatoes
crushed tomatoes in puree,21,Tomatoes
crushed unsweetened pineapple,31,Other Fruit
crusty bread,1,Wheat & Rye (Bread)
crusty bread roll,1,Wheat & Rye (Bread)
crusty hamburger bun,1,Wheat & Rye (Bread)
crusty italian bread,1,Wheat & Rye (Bread)
crystallized ginger,23,Root Vegetables
cuban bread,1,Wheat & Rye (Bread)
cubanelle pepper,25,Other Vegetables
cube steak,34,Beef (beef herd)
cubed ham,37,Pig Meat
cucumber,25,Other Vegetables
cucumber relish,25,Other Vegetables
cultured buttermilk,39,Milk
curly endive lettuce,25,Other Vegetables
currant,31,Other Fruit
currant jelly,31,Other Fruit
currant juice,31,Other Fruit
cut green bean,10,Other Pulses
cut wax bean,10,Other Pulses
cuttlefish,42,Fish (farmed)
daikon radish,23,Root Vegetables
dairy eggnog,41,Eggs
dandelion green,25,Other Vegetables
danish blue cheese,40,Cheese
dark baking chocolate,33,Dark Chocolate
dark beer,3,Barley (Beer)
dark brown sugar,8,Cane Sugar
dark cherry,31,Other Fruit
dark chicken meat,38,Poultry Meat
dark chili powder,25,Other Vegetables
dark chocolate,33,Dark Chocolate
dark chocolate bar,33,Dark Chocolate
dark chocolate brownie mix,33,Dark Chocolate
dark chocolate chip,33,Dark Chocolate
dark chocolate confectionary coating,4,Oatmeal
dark chocolate couverture,33,Dark Chocolate
dark chocolate frosting,33,Dark Chocolate
dark chocolate kiss,33,Dark Chocolate
dark chocolate melt,33,Dark Chocolate
dark chocolate shaving,33,Dark Chocolate
dark chocolate square,33,Dark Chocolate
dark chocolate syrup,33,Dark Chocolate
dark cooking chocolate,33,Dark Chocolate
dark corn syrup,2,Maize (Meal)
dark muscovado sugar,8,Cane Sugar
dark red kidney bean,10,Other Pulses
dark roast coffee,32,Coffee
dark rye,1,Wheat & Rye (Bread)
dark rye bread,1,Wheat & Rye (Bread)
dark rye flmy,1,Wheat & Rye (Bread)
dark sweet cherry,31,Other Fruit
dark turkey meat,38,Poultry Meat
date bread mix,1,Wheat & Rye (Bread)
date sugar,8,Cane Sugar
day-old french bread,1,Wheat & Rye (Bread)
day-old white bread,1,Wheat & Rye (Bread)
de-fatted beef broth,34,Beef (beef herd)
de-fatted chicken broth,38,Poultry Meat
de-fatted chicken stock,38,Poultry Meat
decorator sugar,8,Cane Sugar
dehydrated onion,22,Onions & Leeks
deli chicken,38,Poultry Meat
deli corned beef,34,Beef (beef herd)
deli ham,37,Pig Meat
deli peppered turkey breast,38,Poultry Meat
deli roast beef,34,Beef (beef herd)
deli turkey,38,Poultry Meat
delicata squash,25,Other Vegetables
delmonte stewed tomato,21,Tomatoes
demerara sugar,8,Cane Sugar
dense bread,1,Wheat & Rye (Bread)
desiccated coconut,31,Other Fruit
desiccated unsweetened coconut,31,Other Fruit
dessert apple,28,Apples
dessert pear,31,Other Fruit
deviled ham,37,Pig Meat
diamond walnut,12,Nuts
diced fire-roasted tomato,21,Tomatoes
diced green chili,25,Other Vegetables
diced green chily,25,Other Vegetables
diced onion,22,Onions & Leeks
diced potato,6,Potatoes
diced tomato,21,Tomatoes
diced tomatoes in tomato puree,21,Tomatoes
diet ginger ale,23,Root Vegetables
diet root beer,3,Barley (Beer)
digestive biscuit,1,Wheat & Rye (Bread)
dijon-horseradish mustard,23,Root Vegetables
dill,25,Other Vegetables
dill dip,25,Other Vegetables
dill flower,25,Other Vegetables
dill leaf,25,Other Vegetables
dill relish,25,Other Vegetables
dill sauce,25,Other Vegetables
dill seed,25,Other Vegetables
dill sprig,25,Other Vegetables
dill weed,25,Other Vegetables
ding dong chocolate snack cake,33,Dark Chocolate
dipping chocolate,33,Dark Chocolate
dirty rice mix,5,Rice
dole pineapple slice,31,Other Fruit
double chocolate brownie mix,33,Dark Chocolate
double chocolate chip,33,Dark Chocolate
double chocolate chunk cookie mix,33,Dark Chocolate
double cream brie cheese,40,Cheese
double gloucester cheese,40,Cheese
dove dark chocolate ature,33,Dark Chocolate
dried ancho pepper,25,Other Vegetables
dried anchovy,42,Fish (farmed)
dried apple,28,Apples
dried apple ring,28,Apples
dried apricot,31,Other Fruit
dried apricot half,31,Other Fruit
dried baby lima bean,10,Other Pulses
dried banana,27,Bananas
dried banana piece,27,Bananas
dried barberry,29,Berries & Grapes
dried bean,10,Other Pulses
dried bean mix,10,Other Pulses
dried beef,34,Beef (beef herd)
dried black bean,10,Other Pulses
dried black fig,31,Other Fruit
dried black mushroom,25,Other Vegetables
dried black turtle bean,10,Other Pulses
dried black-eyed pea,11,Peas
dried blueberry,29,Berries & Grapes
dried bread,1,Wheat & Rye (Bread)
dried breadcrumb,1,Wheat & Rye (Bread)
dried brown lentil,10,Other Pulses
dried butter bean,10,Other Pulses
dried calimyrna fig,31,Other Fruit
dried cannellini bean,10,Other Pulses
dried cayenne pepper,25,Other Vegetables
dried celery flake,25,Other Vegetables
dried cherry,31,Other Fruit
dried chili,25,Other Vegetables
dried chili pepper flake,25,Other Vegetables
dried chili pod,25,Other Vegetables
dried chily,25,Other Vegetables
dried chinese mushroom,25,Other Vegetables
dried chipotle pepper,25,Other Vegetables
dried coconut,31,Other Fruit
dried corn kernel,2,Maize (Meal)
dried cracked corn,2,Maize (Meal)
dried cranberry,29,Berries & Grapes
dried cranberry bean,10,Other Pulses
dried currant,31,Other Fruit
dried dill,25,Other Vegetables
dried dill seed,25,Other Vegetables
dried dill weed,25,Other Vegetables
dried fava bean,10,Other Pulses
dried fennel,25,Other Vegetables
dried fennel seed,25,Other Vegetables
dried fig,31,Other Fruit
dried fish flake,42,Fish (farmed)
dried fruit,31,Other Fruit
dried garbanzo bean,10,Other Pulses
dried garlic,23,Root Vegetables
dried garlic flake,23,Root Vegetables
dried ginger,23,Root Vegetables
dried great northern bean,10,Other Pulses
dried guajillo chily,25,Other Vegetables
dried hot chili pepper,25,Other Vegetables
dried hot pepper,25,Other Vegetables
dried hot red chili pepper,25,Other Vegetables
dried hot red chily,25,Other Vegetables
dried jalapeno pepper,25,Other Vegetables
dried kaffir lime leaf,26,Citrus Fruit
dried kidney bean,10,Other Pulses
dried large lima bean,10,Other Pulses
dried lemon balm leaf,26,Citrus Fruit
dried lemon peel,26,Citrus Fruit
dried lemon verbena,26,Citrus Fruit
dried lentil,10,Other Pulses
dried lima bean,10,Other Pulses
dried lime,26,Citrus Fruit
dried mango,31,Other Fruit
dried mild red chili pepper,25,Other Vegetables
dried mission fig,31,Other Fruit
dried mixed fruit,31,Other Fruit
dried mulberry,29,Berries & Grapes
dried mushroom,25,Other Vegetables
dried navy bean,10,Other Pulses
dried onion,22,Onions & Leeks
dried onion flake,22,Onions & Leeks
dried orange peel,26,Citrus Fruit
dried papaya,31,Other Fruit
dried pasilla pepper,25,Other Vegetables
dried pea,11,Peas
dried peach,31,Other Fruit
dried pear,31,Other Fruit
dried pear half,31,Other Fruit
dried pineapple,31,Other Fruit
dried pink bean,10,Other Pulses
dried pink lentil,10,Other Pulses
dried pinto bean,10,Other Pulses
dried plum,31,Other Fruit
dried porcini mushroom,25,Other Vegetables
dried red bean,10,Other Pulses
dried red chili,25,Other Vegetables
dried red chili pepper,25,Other Vegetables
dried red chily,25,Other Vegetables
dried red kidney bean,10,Other Pulses
dried red lentil,10,Other Pulses
dried red pepper,25,Other Vegetables
dried rice noodle,5,Rice
dried salt cod fish,42,Fish (farmed)
dried shallot,23,Root Vegetables
dried shiitake mushroom,25,Other Vegetables
dried shredded coconut,31,Other Fruit
dried shrimp,43,Shrimps (farmed)
dried shrimp paste,43,Shrimps (farmed)
dried small red chily,25,Other Vegetables
dried sour cherry,31,Other Fruit
dried spearmint,31,Other Fruit
dried split green pea,11,Peas
dried split pea,11,Peas
dried split yellow pea,11,Peas
dried strawberry,29,Berries & Grapes
dried sweetened cranberry,29,Berries & Grapes
dried tangerine peel,26,Citrus Fruit
dried tart cherry,31,Other Fruit
dried tepin chily,25,Other Vegetables
dried tomato,21,Tomatoes
dried tomatoe,21,Tomatoes
dried tropical fruit,31,Other Fruit
dried unsulfured apricot,31,Other Fruit
dried vegetable flake,24,Brassicas
dried white bean,10,Other Pulses
dried white kidney bean,10,Other Pulses
dried white pea bean,10,Other Pulses
dried whole corn,2,Maize (Meal)
dried whole dill weed,25,Other Vegetables
dried whole green pea,11,Peas
dried wild mushroom,25,Other Vegetables
dried wood ear mushroom,25,Other Vegetables
dried yellow pea,11,Peas
drinking chocolate,33,Dark Chocolate
dry 18 bean soup mix,10,Other Pulses
dry ancho chily,25,Other Vegetables
dry bread,1,Wheat & Rye (Bread)
dry bread cube,1,Wheat & Rye (Bread)
dry breadcrumb,1,Wheat & Rye (Bread)
dry buttermilk,39,Milk
dry champagne,30,Wine
dry chili pepper,25,Other Vegetables
dry coconut powder,31,Other Fruit
dry crushed red pepper,25,Other Vegetables
dry curd cottage cheese,40,Cheese
dry dill weed,25,Other Vegetables
dry green lentil,10,Other Pulses
dry infant rice cereal,5,Rice
dry instant chicken broth,38,Poultry Meat
dry instant coffee,32,Coffee
dry lentil,10,Other Pulses
dry marsala wine,30,Wine
dry milk,39,Milk
dry milk powder,39,Milk
dry milk solid,39,Milk
dry mixed bean,10,Other Pulses
dry mushroom soup mix,25,Other Vegetables
dry northern white bean,10,Other Pulses
dry onion,22,Onions & Leeks
dry onion flake,22,Onions & Leeks
dry onion soup mix,22,Onions & Leeks
dry parmesan cheese,40,Cheese
dry pinto bean,10,Other Pulses
dry red pepper,25,Other Vegetables
dry red wine,30,Wine
dry roasted peanut,13,Groundnuts
dry roasted salted peanut,13,Groundnuts
dry tapioca,7,Cassava
dry vegetable soup mix,24,Brassicas
dry white bean,10,Other Pulses
dry white bread,1,Wheat & Rye (Bread)
dry white wine,30,Wine
dry whole grain breadcrumb,1,Wheat & Rye (Bread)
dry whole wheat breadcrumb,1,Wheat & Rye (Bread)
dry wine,30,Wine
